,...1.Control.1.csv,...1.Control.2.csv,...1.Control.3.csv,...2.Moderate.1.csv,...2.Moderate.2.csv,...2.Moderate.3.csv,...3.Extreme.3.csv,...3.Extreme.1.csv,...3.Extreme.2.csv,...4.3.Days.recovery.1.csv,...4.3.Days.recovery.2.csv,...4.3.days.recovery.3.csv,...5.6.Days.recovery.1.csv,...5.6.Days.recovery.2.csv,...5.6.days.recovery.3.csv
gi|11466861|,0.000647356,0.000752133,0.000364889,0.000666863,0.000809967,0.00048391,0.000821932,0.000711335,0.000669891,0.000711133,0.00060703,0.000630388,0.000888751,0.000690247,0.000436856
gi|115433966|,0.000607202,0.000748465,0.000641991,0.00056126,0.00060816,0.000218316,0.000642541,0.000600176,0.000714121,0.000469015,0.000905644,0.00047681,0.000503995,0.000616744,0.000546714
gi|115433984|,0.000522743,0.000649819,0.000773202,0.000797986,0.000639203,0.000670708,0.000675542,0.000391,0.000403015,0.000686543,0.000767428,0.000688657,0.000700694,0.000518664,0.000578902
gi|115433990|,0.000804089,0.000519045,0.000704161,0.000786866,0.000832189,0.000530629,0.000607734,0.000586423,0.000656024,0.000757621,0.000695112,0.000592458,0.000701611,0.000723427,0.000446403
gi|115434012|,0.000804903,0.00066339,0.000654043,0.000501726,0.000953575,0.000592805,0.000675335,0.000638052,0.000301579,0.000567386,0.000545062,0.00063597,0.000668755,0.000662259,0.000624428
gi|115434034|,0.000763691,0.000343902,0.00057227,0.000676421,0.000681659,0.000468881,0.00050112,0.000577908,0.000596164,0.000536459,0.000705525,0.000570846,0.000749634,0.000807419,0.000465901
gi|115434036|,0.00046023,0.000487443,0.000759809,0.000753265,0.000603784,0.000833437,0.000699148,0.000641503,0.000719637,0.000704257,0.000661385,0.000601657,0.000574101,0.000554728,0.000483576
gi|115434044|,0.000535698,0.000650913,0.000730548,0.000627177,0.000592665,0.000627158,0.000726973,0.000732496,0.000521915,0.000440232,0.000754656,0.000479119,0.000576872,0.000875049,0.000645278
gi|115434086|,0.00081826,0.000683089,0.000583039,0.00065783,0.000674078,0.000551773,0.000737263,0.00091433,0.000597729,0.000512446,0.000667211,0.000739509,0.000575559,0.00049375,0.000712382
gi|115434198|,0.000610343,0.000855017,0.000600716,0.000768352,0.000773707,0.000510563,0.000637836,0.000883437,0.000684839,0.000514426,0.000848549,0.00057171,0.000664278,0.000871708,0.000724243
gi|115434216|,0.00068957,0.000721887,0.000547548,0.000655016,0.000670666,0.000667425,0.000501886,0.000494749,0.00027571,0.000859241,0.000624402,0.000574055,0.000753557,0.000763092,0.000854793
gi|115434220|,0.000696884,0.000494398,0.000774936,0.000725247,0.00061744,0.000472632,0.000638566,0.00082055,0.000657634,0.000464683,0.000771564,0.000577554,0.000526951,0.000578965,0.000731956
gi|115434226|,0.000605296,0.000808326,0.000491759,0.000511345,0.000395904,0.000832844,0.000529843,0.000400142,0.000557705,0.000313606,0.000794329,0.000509177,0.00045803,0.000616359,0.000689708
gi|115434240|,0.000737372,0.000600673,0.00056376,0.000604302,0.000797629,0.000443071,0.000402328,0.000559241,0.000645888,0.000578058,0.000743835,0.000599556,0.000638844,0.000652932,0.000582417
gi|115434254|,0.000670976,0.000811861,0.000756883,0.000772022,0.000468176,0.000538766,0.000553434,0.000640631,0.000790037,0.000639551,0.000783691,0.000660896,0.00102034,0.000762207,0.000711741
gi|115434432|,0.000600939,0.000531558,0.000651295,0.000780899,0.000835734,0.000661436,0.000754324,0.000708675,0.000405434,0.000804535,0.000586158,0.000702968,0.000527703,0.000658229,0.000621896
gi|115434488|,0.000669483,0.000599,0.000714917,0.000526859,0.000544835,0.00055013,0.00086453,0.000887756,0.000928468,0.000757129,0.000737073,0.000653889,0.000661637,0.000555757,0.000780598
gi|115434516|,0.000591279,0.000908637,0.000492731,0.000693316,0.000696648,0.000696741,0.000739997,0.000534068,0.000795869,0.000805952,0.00072756,0.000399496,0.000751727,0.000784253,0.000613348
gi|115434544|,0.000608894,0.000652779,0.000604211,0.000633533,0.000740818,0.000752178,0.000728588,0.000562907,0.000649547,0.000552224,0.000507516,0.000808543,0.000574744,0.000781927,0.000585641
gi|115434560|,0.000617573,0.000459023,0.000668486,0.000553964,0.000636783,0.000573369,0.000622492,0.000569801,0.000730604,0.000743206,0.000748419,0.000531089,0.000614532,0.000696637,0.000619679
gi|115434592|,0.000687248,0.000660111,0.000701998,0.000538271,0.000833444,0.000685405,0.000574291,0.000649471,0.000461844,0.000553616,0.000538059,0.000739184,0.000803082,0.000595611,0.000583946
gi|115434790|,0.000735501,0.000735107,0.000509595,0.000455717,0.000791909,0.000633027,0.000859415,0.000668937,0.000454705,0.000471563,0.000604724,0.000624607,0.000622222,0.000406466,0.000405129
gi|115434810|,0.000878818,0.000690021,0.000818886,0.000492853,0.000532265,0.000615072,0.000700314,0.000511875,0.000713119,0.000838879,0.000872194,0.000677105,0.00081309,0.000557221,0.000745251
gi|115434820|,0.000614013,0.000666139,0.00073755,0.000535693,0.000733885,0.000710142,0.000496117,0.000556066,0.000734403,0.000749119,0.000608427,0.000836775,0.00062827,0.000644009,0.000588984
gi|115434896|,0.000538356,0.000633943,0.000407849,0.00076328,0.000569745,0.000677293,0.000407805,0.000878545,0.000855371,0.000602604,0.000837909,0.000817395,0.000903149,0.000540358,0.000675113
gi|115434904|,0.000504054,0.000715766,0.000645095,0.000637618,0.000426255,0.000705132,0.000578679,0.000619761,0.00079987,0.000700618,0.000634253,0.000593366,0.000877103,0.000558332,0.000736719
gi|115434962|,0.000614576,0.000541639,0.000703063,0.000618866,0.000331472,0.000859827,0.00067741,0.00076498,0.000487987,0.000477693,0.000659654,0.000572229,0.000654743,0.000563699,0.00047183
gi|115435008|,0.000738023,0.000523156,0.000878499,0.000724085,0.000572979,0.000923219,0.000593655,0.000790006,0.000464976,0.000526508,0.000664388,0.00066402,0.000673306,0.000984166,0.000764593
gi|115435022|,0.000631962,0.000867276,0.000418191,0.000524133,0.000674609,0.000864291,0.000642866,0.000819726,0.000674896,0.000593146,0.000677168,0.00051954,0.000598465,0.000782486,0.000645772
gi|115435028|,0.000709326,0.000586609,0.000277281,0.000429487,0.000618914,0.000413064,0.001002118,0.000810535,0.000648963,0.000611522,0.000680386,0.000769588,0.000402257,0.000475635,0.000741456
gi|115435100|,0.000576102,0.000655753,0.000800608,0.000437643,0.00072498,0.000540721,0.000702526,0.000343063,0.000550597,0.00095398,0.000431044,0.000618547,0.000755439,0.000664928,0.000577243
gi|115435108|,0.00066761,0.000632231,0.000552693,0.000540782,0.000370649,0.000608965,0.000886551,0.000588485,0.00059074,0.000666637,0.000574047,0.000769647,0.000585096,0.00060047,0.000659254
gi|115435200|,0.000563935,0.000629012,0.000644662,0.000734457,0.000631491,0.000724481,0.000644671,0.000536278,0.000536562,0.000595102,0.000575241,0.000603907,0.000677139,0.000621586,0.00069353
gi|115435220|,0.000324392,0.000705647,0.000544665,0.00069171,0.000580952,0.000827739,0.000544788,0.000543632,0.000702506,0.000651796,0.000656839,0.000816419,0.000623918,0.00074385,0.000671338
gi|115435310|,0.000490342,0.000688151,0.000737664,0.000682795,0.000576323,0.000729186,0.000561538,0.000789867,0.000838724,0.000791273,0.000611232,0.000621308,0.000894576,0.000529766,0.000811681
gi|115435368|,0.000545801,0.000899712,0.000769347,0.000738652,0.000749516,0.000319773,0.000726559,0.00063182,0.000769044,0.000635196,0.000696851,0.000670543,0.000680968,0.000706508,0.000802742
gi|115435442|,0.000648953,0.000439983,0.000719119,0.000561061,0.000809723,0.000586525,0.000777825,0.000756291,0.000827352,0.000435142,0.000724009,0.000684171,0.000616464,0.000672269,0.000532267
gi|115435496|,0.000832716,0.000739189,0.000655541,0.000679938,0.000682919,0.000504437,0.000628172,0.000676119,0.000400291,0.00076145,0.000689925,0.000602286,0.000697557,0.000597926,0.000636916
gi|115435500|,0.000493151,0.00048885,0.000842057,0.000671926,0.000882846,0.000587416,0.000742095,0.000442338,0.000716897,0.000647187,0.000569737,0.001000032,0.000735527,0.00083831,0.00074792
gi|115435508|,0.000827018,0.000621324,0.000623499,0.000700123,0.00069999,0.000499292,0.000470939,0.000658451,0.00048218,0.000796163,0.000513411,0.000709033,0.000597708,0.000473179,0.000499976
gi|115435522|,0.000819921,0.000764115,0.000494392,0.000819114,0.000688842,0.000704189,0.000727556,0.000598928,0.000584266,0.000823201,0.000647318,0.000813825,0.000763711,0.000646369,0.000686281
gi|115435528|,0.000696765,0.000473314,0.000822814,0.0007271,0.000527795,0.000684393,0.000618481,0.000670267,0.000783617,0.000881548,0.000728941,0.000613149,0.000707376,0.000468063,0.000622966
gi|115435558|,0.000977748,0.000478342,0.000557786,0.000684168,0.000616521,0.000758049,0.000877869,0.000712754,0.000669775,0.000528979,0.000494496,0.000774711,0.000614918,0.000681865,0.000748958
gi|115435572|,0.000695117,0.000685397,0.000660242,0.000689455,0.000737336,0.000646636,0.000656121,0.000613152,0.00046817,0.000721712,0.000549174,0.000522567,0.000587535,0.000570071,0.000789973
gi|115435662|,0.000942598,0.000616419,0.000857266,0.00063195,0.000626335,0.000768727,0.000635646,0.000794515,0.000705697,0.000669173,0.000610503,0.000356037,0.000256751,0.000703135,0.000609254
gi|115435678|,0.000519071,0.000869407,0.000704651,0.000660121,0.000748412,0.000712315,0.0007434,0.000559727,0.000590379,0.000489076,0.000598927,0.000825887,0.000680506,0.000906872,0.000613645
gi|115435714|,0.000807868,0.000455564,0.000806557,0.000563201,0.000497664,0.000598663,0.000457854,0.000610864,0.000571538,0.00059948,0.000650156,0.000803083,0.000745383,0.000552201,0.000563622
gi|115435758|,0.000678964,0.000518688,0.000572745,0.000879828,0.000550777,0.000707045,0.000645633,0.000732559,0.000691491,0.000532057,0.000728912,0.000704824,0.000653859,0.000435352,0.000849197
gi|115435844|,0.000535496,0.000773777,0.000500291,0.000593252,0.000704896,0.000669742,0.000529451,0.000647319,0.000489187,0.000520317,0.000658204,0.000703173,0.000453213,0.000572321,0.000732872
gi|115435888|,0.000946249,0.000768182,0.000583688,0.000540324,0.000547341,0.000816303,0.000607899,0.000889765,0.000761929,0.000600896,0.000703565,0.000821587,0.000622898,0.000351356,0.000473795
gi|115435898|,0.000826232,0.000497952,0.000818151,0.000775726,0.000481893,0.0007748,0.000676696,0.000594153,0.000526701,0.00049715,0.000489435,0.000683764,0.000502658,0.000470903,0.000684214
gi|115435928|,0.000700613,0.000581863,0.00062348,0.000671506,0.000702383,0.000833829,0.000556707,0.000583268,0.000726015,0.00069157,0.000648843,0.000670884,0.000702929,0.000722569,0.000549575
gi|115435934|,0.000602034,0.000535625,0.00064721,0.00075608,0.000704248,0.000563913,0.000550713,0.000524724,0.000650403,0.000296605,0.000728281,0.000571097,0.00070364,0.000698646,0.000648823
gi|115435974|,0.000622187,0.000624357,0.0005942,0.000567489,0.000538846,0.000487547,0.000954314,0.000357933,0.000562651,0.000450233,0.000793079,0.000685665,0.000589226,0.000855143,0.00050652
gi|115436010|,0.000651051,0.00041457,0.000869113,0.000535402,0.000745034,0.000787355,0.000638586,0.000593593,0.000637246,0.000699191,0.000580755,0.000529499,0.000622207,0.000441198,0.0006953
gi|115436026|,0.000789124,0.000625166,0.000454265,0.000622373,0.00062429,0.000537577,0.000767289,0.000561398,0.000693272,0.000536926,0.000633687,0.000542496,0.000563302,0.000781262,0.000463312
gi|115436038|,0.000678302,0.000840684,0.000553214,0.00067812,0.000986564,0.000503201,0.000663921,0.000559831,0.000511021,0.000528239,0.000906002,0.000774508,0.000767096,0.000751428,0.000643989
gi|115436054|,0.00066876,0.000664232,0.000701729,0.000766241,0.000690784,0.000602006,0.000557566,0.000699536,0.000575734,0.00052588,0.000545855,0.001016412,0.000599529,0.000847304,0.000449538
gi|115436084|,0.000562539,0.000593466,0.000653058,0.000662402,0.000416966,0.00049593,0.000578478,0.000584847,0.00081924,0.000805166,0.000563458,0.000732046,0.000790582,0.000580666,0.00074563
gi|115436118|,0.000618194,0.000641201,0.000596448,0.000644032,0.000805488,0.000768945,0.000667432,0.000513959,0.000641138,0.000637492,0.000596164,0.000608209,0.000748944,0.000636577,0.000633864
gi|115436120|,0.000429271,0.000592651,0.000563247,0.000572792,0.000773841,0.000835206,0.000442044,0.000662846,0.000448003,0.000582907,0.000520905,0.000467176,0.000640743,0.000583916,0.000554404
gi|115436216|,0.00056169,0.000482145,0.00071657,0.000667299,0.000535149,0.000483551,0.000342776,0.000803879,0.000574442,0.00045438,0.000499266,0.000743447,0.000672574,0.00082745,0.000797492
gi|115436226|,0.000694715,0.000573832,0.000553396,0.000420577,0.000769343,0.000760047,0.000760081,0.000893459,0.00054415,0.000645731,0.000627183,0.000595438,0.000839299,0.000652756,0.000669126
gi|115436264|,0.000674561,0.000786565,0.000702191,0.000746762,0.000648933,0.000706611,0.000537634,0.000815663,0.000753149,0.000706594,0.000645706,0.000585254,0.00062719,0.000821844,0.000638217
gi|115436266|,0.000556593,0.000737677,0.000911331,0.00052224,0.000656029,0.000619759,0.000594307,0.000545054,0.000919868,0.000595198,0.000762007,0.00070033,0.000507946,0.00091913,0.000610933
gi|115436290|,0.000447466,0.000534596,0.000725422,0.000386149,0.000843073,0.000592994,0.000814246,0.000721245,0.000608353,0.000699795,0.000586398,0.000429996,0.000698108,0.00063958,0.000609007
gi|115436298|,0.000389227,0.00050983,0.000694125,0.000702295,0.000619957,0.000608283,0.000772964,0.000831137,0.000657464,0.000568956,0.00063373,0.000599047,0.000673246,0.000692325,0.000599277
gi|115436300|,0.000660222,0.000595904,0.000583026,0.000341508,0.000609445,0.000460103,0.000644244,0.000629633,0.000696718,0.000941649,0.00062444,0.000422038,0.000762345,0.000480953,0.000765634
gi|115436320|,0.00050477,0.000515143,0.000586364,0.000597317,0.000654338,0.000564629,0.000757714,0.000650416,0.000430479,0.000563047,0.000539928,0.000654391,0.000577043,0.00067304,0.000499627
gi|115436368|,0.000798625,0.000762119,0.000540147,0.000841802,0.000612364,0.000636048,0.000635651,0.000687725,0.000680114,0.00048491,0.000768373,0.000500421,0.000723366,0.000587466,0.000774901
gi|115436372|,0.000619214,0.000585661,0.000417582,0.000319175,0.000510582,0.00067886,0.000563276,0.000613975,0.00073414,0.000650267,0.000816237,0.000751601,0.000471705,0.00062839,0.000670579
gi|115436430|,0.000623893,0.00065546,0.000446855,0.000386479,0.000689258,0.000604771,0.000695294,0.00054864,0.000626256,0.000564274,0.000703986,0.000471872,0.000732161,0.00068853,0.000570396
gi|115436436|,0.000867542,0.000487271,0.000769434,0.00069137,0.000547099,0.000595407,0.000450875,0.000469799,0.00075615,0.000630628,0.000496635,0.000854433,0.000766849,0.000757594,0.000883276
gi|115436484|,0.000646579,0.000841274,0.000614573,0.000528401,0.000666692,0.000803994,0.000527172,0.000754014,0.000639767,0.000839309,0.000702281,0.000718199,0.000596669,0.000489796,0.000368795
gi|115436488|,0.000627106,0.000836014,0.000694479,0.000857838,0.000433497,0.000586024,0.000598728,0.000687206,0.000392796,0.000599591,0.00065047,0.00072885,0.000754315,0.000729315,0.000456721
gi|115436500|,0.000595837,0.000629467,0.000680179,0.00072434,0.000644957,0.000612436,0.000725916,0.00068514,0.000622185,0.000337051,0.000506585,0.000479634,0.000702447,0.00050256,0.000799384
gi|115436538|,0.000560474,0.000629751,0.000673894,0.000457079,0.000813082,0.000844217,0.000671747,0.000668347,0.000670906,0.000723114,0.0006584,0.000692492,0.000637491,0.000488496,0.000411615
gi|115436564|,0.000639396,0.000560908,0.000523043,0.000690424,0.000601299,0.000534272,0.00060014,0.000605961,0.000435993,0.000588586,0.000709109,0.000566661,0.000497442,0.00060706,0.000816213
gi|115436616|,0.000778582,0.000507725,0.000580147,0.000583419,0.000646603,0.000580532,0.000735053,0.000715828,0.000637585,0.000482425,0.000576826,0.000717235,0.000582238,0.000711269,0.000843324
gi|115436646|,0.000809991,0.000837988,0.000686824,0.000513586,0.000747202,0.000760151,0.000757296,0.000808328,0.000572763,0.000646066,0.000736702,0.000813569,0.000471487,0.000504596,0.000723379
gi|115436666|,0.000596488,0.000777601,0.000562911,0.000541609,0.000824691,0.000532026,0.000634424,0.000545619,0.000462881,0.000586524,0.000839588,0.000537605,0.000831959,0.000900425,0.000738242
gi|115436780|,0.000405795,0.000495494,0.000569557,0.000695287,0.000615292,0.000605434,0.000643916,0.000644902,0.000654327,0.000727662,0.000641973,0.00070263,0.000402059,0.000606517,0.00064875
gi|115436818|,0.000449053,0.00059869,0.000533619,0.000442947,0.000406825,0.000536464,0.000490266,0.000735986,0.000588426,0.000768135,0.000611851,0.000569174,0.000674154,0.000718177,0.000455697
gi|115436916|,0.00096976,0.000464158,0.000523581,0.00077433,0.000583461,0.000421806,0.000592299,0.000603896,0.000500781,0.000666321,0.000584263,0.00051455,0.000713922,0.000865331,0.000585224
gi|115436940|,0.000632827,0.000622208,0.000555473,0.000683682,0.000604022,0.000449973,0.000901677,0.000629057,0.000427412,0.00072739,0.000639906,0.000689863,0.000709091,0.000654644,0.000717787
gi|115437194|,0.000320497,0.000666357,0.000587208,0.000786907,0.00076307,0.00053777,0.000651806,0.000492648,0.00057654,0.000591188,0.000663697,0.000735898,0.000621511,0.000674742,0.000595243
gi|115437234|,0.000612078,0.00090597,0.000651132,0.000526369,0.000584292,0.000845436,0.000592747,0.000508383,0.000797888,0.000901529,0.00054403,0.000657352,0.000520859,0.000807296,0.000547822
gi|115437344|,0.000802017,0.000600517,0.000555136,0.000574198,0.00057014,0.000488722,0.000743811,0.000445049,0.000718074,0.000782453,0.000406836,0.000784458,0.000484809,0.000703719,0.000485681
gi|115437448|,0.000784114,0.000713921,0.000699594,0.000479415,0.000766456,0.000662529,0.000705374,0.000801187,0.000565572,0.000447769,0.000621704,0.000491349,0.000558948,0.00064387,0.00071495
gi|115437502|,0.000611163,0.000633081,0.000688083,0.000832696,0.000664934,0.000671625,0.000760028,0.000634536,0.000558354,0.000815831,0.000655786,0.000460874,0.000718894,0.000633275,0.000805857
gi|115437604|,0.000781269,0.000709513,0.000680128,0.00070131,0.000519439,0.000743748,0.0004582,0.000453952,0.000670169,0.000712838,0.000424623,0.000646945,0.000728554,0.000452889,0.000811091
gi|115437678|,0.000768303,0.000764409,0.000377657,0.000842693,0.000739586,0.000515625,0.000521497,0.000609222,0.000659328,0.000544924,0.000542927,0.000832749,0.000656634,0.000415616,0.000744633
gi|115437756|,0.000772741,0.000868488,0.000485701,0.000824982,0.000939801,0.00080641,0.000646372,0.000502578,0.00065093,0.000898894,0.000622437,0.000726261,0.000618063,0.000987379,0.000535307
gi|115437808|,0.000529956,0.000720757,0.000305226,0.000565187,0.000724465,0.000708896,0.000914899,0.000543768,0.000648516,0.000713715,0.00061612,0.000524291,0.000663217,0.000757518,0.000622779
gi|115437816|,0.000384336,0.000695859,0.000633423,0.000531304,0.000590468,0.000622877,0.000745152,0.000657574,0.000658738,0.000862723,0.000832862,0.000648949,0.000749714,0.000733277,0.000706258
gi|115437984|,0.000856849,0.000605059,0.000682807,0.000739277,0.000734184,0.000596928,0.000673083,0.000544148,0.000762561,0.000468645,0.000781432,0.000804966,0.000394429,0.000719226,0.000716776
gi|115438000|,0.000593917,0.00094457,0.000642779,0.0007426,0.000669131,0.000689735,0.000460204,0.000707347,0.000573895,0.000768798,0.000700007,0.000461354,0.000714552,0.000536612,0.000586316
gi|115438052|,0.000431499,0.000480805,0.000674365,0.0008665,0.000701981,0.000492356,0.000577611,0.000577524,0.000575661,0.000655693,0.000808655,0.000858056,0.000498153,0.000717526,0.000571737
gi|115438082|,0.000724433,0.000483971,0.000672401,0.000561372,0.00059086,0.000455189,0.00077153,0.00048806,0.000431502,0.00076859,0.000554322,0.000585927,0.000557487,0.000739381,0.001052532
gi|115438250|,0.000873035,0.000852359,0.000576607,0.000456334,0.000589981,0.000817463,0.000564281,0.000922326,0.000661046,0.000673476,0.00064262,0.000556664,0.000521493,0.000438931,0.000520544
gi|115438420|,0.000696828,0.000649113,0.000357385,0.000561665,0.000653671,0.000726324,0.000612998,0.000541563,0.000747272,0.000829089,0.000496452,0.000669769,0.000808784,0.000889088,0.000777146
gi|115438478|,0.000668158,0.000577764,0.000361279,0.000625531,0.000700296,0.000513714,0.000792595,0.000900768,0.000589673,0.000650369,0.000767431,0.00078212,0.000652574,0.000492206,0.00063747
gi|115438550|,0.000814517,0.000766188,0.000500387,0.000646077,0.000804651,0.0007078,0.000641245,0.000917778,0.000685984,0.000607412,0.000642602,0.000824812,0.000812617,0.000650603,0.00050223
gi|115438584|,0.000418109,0.000643638,0.000340481,0.000750168,0.000471276,0.000804415,0.000503492,0.000282171,0.000726869,0.000687416,0.000654659,0.000678859,0.000747842,0.000655492,0.000627773
gi|115438604|,0.000956997,0.000723894,0.000445884,0.000487744,0.000874548,0.000607477,0.000503308,0.00042479,0.000653457,0.00095602,0.000622981,0.00059433,0.000791359,0.000813819,0.000595684
gi|115438612|,0.000834823,0.000923175,0.000668639,0.000804915,0.00051393,0.000706397,0.000799447,0.000676698,0.000426104,0.000608901,0.000642789,0.000569762,0.000703002,0.000817757,0.000586106
gi|115438621|,0.000505791,0.000907974,0.000891648,0.000854455,0.00080679,0.000691098,0.000496145,0.000611302,0.000710006,0.000494843,0.000553936,0.000643348,0.000801641,0.000679376,0.000544436
gi|115438661|,0.000693337,0.000794738,0.00074569,0.00063367,0.000583348,0.000520976,0.000577038,0.000569402,0.000542243,0.000591284,0.00057828,0.000786234,0.000799555,0.000414975,0.000671611
gi|115438677|,0.000617039,0.000631126,0.00053968,0.000439206,0.000721773,0.000579436,0.00027258,0.000724573,0.000686962,0.000681905,0.00069226,0.000512071,0.000488192,0.000574416,0.000545315
gi|115438681|,0.000440332,0.000731646,0.000615066,0.000860191,0.000646741,0.000436199,0.000825608,0.000504707,0.000622226,0.000757474,0.000503937,0.000928614,0.000916808,0.000862682,0.00046565
gi|115438793|,0.000561328,0.000885042,0.000867179,0.000843571,0.000434559,0.000695574,0.000540885,0.000688398,0.000634396,0.000604704,0.000297911,0.00051805,0.000763233,0.000633617,0.00063099
