X,Description,...1.Control.1.csv,...1.Control.2.csv,...1.Control.3.csv,...2.Moderate.1.csv,...2.Moderate.2.csv,...2.Moderate.3.csv,...3.Extreme.3.csv,...3.Extreme.1.csv,...3.Extreme.2.csv,...4.3.Days.recovery.1.csv,...4.3.Days.recovery.2.csv,...4.3.days.recovery.3.csv,...5.6.Days.recovery.1.csv,...5.6.Days.recovery.2.csv,...5.6.days.recovery.3.csv
gi|11466807|,NA,0.00016641,5.67E-05,0.001553378,0.001736235,0.001272117,0.001190041,6.75E-05,5.82E-05,0.000404533,0.001453074,0.001594918,0.001012375,0.001135524,0.000724385,0.001483492
gi|11466815|,NA,0.005968363,0.007342293,0.006350416,0.006070269,0.005372514,0.006835158,0.005969427,0.00534537,0.006935876,0.006232291,0.005829353,0.005413625,0.005461269,0.005990494,0.006225369
gi|11466818|,NA,6.60E-05,0.000337527,0.000655856,0.000531232,0.000544917,0.000184695,8.03E-05,6.93E-05,0.000343816,0.000655818,0.000306089,5.74E-05,0.000528703,0.000747003,0.00062635
gi|11466819|,NA,0.001055762,0.001740913,0.00188799,0.002793966,0.00239158,0.002632799,0.002542532,0.001650768,0.001908037,0.002160355,0.002018416,0.002041086,0.00243548,0.002082159,0.001840226
gi|11466820|,NA,0.000208567,0.000335212,0.000403735,0.000399688,0.000847303,0.001472989,3.62E-05,3.13E-05,3.10E-05,0.000888165,0.001464679,0.00282253,0.000716015,0.000648497,0.00048839
gi|11466822|,NA,3.34E-05,3.42E-05,3.02E-05,2.99E-05,3.07E-05,3.12E-05,4.07E-05,3.51E-05,3.48E-05,0.00015096,0.000217009,8.71E-05,2.97E-05,2.91E-05,8.65E-05
gi|11466825|,NA,3.34E-05,3.42E-05,0.000211357,0.000209239,0.000214629,0.000280595,0.000203308,3.51E-05,0.000104467,0.00015096,0.000155007,0.000377632,0.000267741,0.000203695,0.000144177
gi|11466828|,NA,0.000701543,0.000562381,0.00018841,8.48E-05,5.22E-05,1.77E-05,0.000345994,1.99E-05,5.93E-05,0.000154144,0.000158276,0.000115349,1.69E-05,1.65E-05,4.91E-05
gi|11466829|,NA,2.95E-05,3.01E-05,2.66E-05,2.63E-05,0.000135118,0.000192348,0.000107512,3.09E-05,3.07E-05,0.00023949,0.000628433,0.00023042,0.000183536,0.000128234,0.000127071
gi|11466844|,NA,0.000132724,0.000252102,0.000131316,6.22E-05,5.80E-06,6.48E-05,0.000269106,0.000165831,0.000533353,0.000108472,9.97E-05,6.04E-05,0.000129381,6.05E-05,3.82E-05
gi|11466848|,NA,5.86E-05,5.99E-05,0.000582165,0.00057633,0.00048369,0.000163943,7.13E-05,6.15E-05,0.000305185,0.000370447,5.43E-05,0.00045825,0.000260721,0.000459049,0.000960318
gi|11466851|,NA,2.49E-05,7.65E-05,0.000247907,0.000468534,0.000343289,0.000954112,0.000576657,0.000445124,0.000389878,0.000563393,0.000300817,0.000758878,0.000288664,0.0003258,0.000236754
gi|11466852|,NA,0.000168199,0.000277894,0.000479206,0.000335553,0.000296722,0.000253441,0.00017314,0.000366638,0.000444828,0.000268807,0.000180008,0.000191159,0.000356987,0.000281606,0.000234404
gi|11466853|,NA,0.000673164,0.000501785,0.000319513,0.000132646,9.42E-05,5.32E-05,0.000513565,0.00049096,0.000534909,5.15E-05,0.000179903,0.000148739,0.000213255,0.000129132,0.000147648
gi|11466861|,NA,2.96E-05,3.03E-05,0.000240865,0.000397418,0.000353302,0.001077739,0.000396451,0.000217653,0.000339518,0.000776074,0.000741918,0.001776587,0.000395526,0.000335303,0.00038338
gi|115433966|,Os01g0101200 Os01g0101200 protein (Fragment),0.000202947,0.000207569,7.05E-05,1.40E-05,0.000214813,1.46E-05,5.70E-05,0.000180229,8.13E-05,1.41E-05,1.45E-05,6.78E-05,4.17E-05,6.80E-05,1.35E-05
gi|115433984|,"cDNA clone:J013000E05, full insert sequence (Os01g0102600 protein)",0.000334693,0.000522482,0.000175043,1.58E-05,8.08E-05,8.22E-05,0.000750043,0.000684051,0.000458809,4.77E-05,4.90E-05,0.000137785,7.84E-05,4.60E-05,7.60E-05
gi|115433990|,Light-regulated protein,3.92E-05,4.01E-05,0.000247907,0.000175302,0.000251745,3.66E-05,0.000238467,4.11E-05,4.08E-05,0.00010624,0.000181812,0.00017036,0.000314042,0.000102394,0.000710263
gi|115434012|,"cDNA clone:001-041-A11, full insert sequence (cDNA clone:006-305-F10, full insert sequence) (cDNA clone:006-309-C04, full insert sequence) (cDNA clone:J023095C18, full insert sequence) (Os01g0104400 protein) (Putative uncharacterized protein P0436E04.19)",0.000363779,0.000513803,0.000266027,0.000232377,0.000556181,0.00056554,0.000653289,0.000163627,0.000126332,0.001423942,0.001429974,0.001309794,0.000200435,0.00022622,0.000104612
gi|115434034|,"Os01g0106300 cDNA clone:001-038-D01, full insert sequence (cDNA clone:001-207-E04, full insert sequence) (cDNA clone:006-302-G05, full insert sequence) (cDNA clone:006-303-C06, full insert sequence) (cDNA clone:006-307-H12, full insert sequence) (cDNA clone:J013045H04, full insert sequence) (Os01g0106300 protein) (Putative isoflavone reductase) (Putative uncharacterized protein)",0.000167218,0.000264314,9.61E-05,1.36E-05,0.000125506,7.09E-05,0.000129454,0.000207409,0.000142538,1.37E-05,1.41E-05,0.000198174,1.35E-05,1.32E-05,1.31E-05
gi|115434036|,"cDNA clone:006-202-E10, full insert sequence (cDNA clone:J033103L17, full insert sequence) (Os01g0106400 protein) (Putative isoflavone reductase)",0.000202341,0.000397979,0.000182786,0.000208792,9.99E-05,0.000130665,0.000284025,0.000310375,0.000243237,7.03E-05,0.000332038,0.000284069,1.39E-05,1.36E-05,0.000147706
gi|115434044|,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplastic (1-deoxyxylulose-5-phosphate reductoisomerase) (DXP reductoisomerase) (EC 1.1.1.267) (2-C-methyl-D-erythritol 4-phosphate synthase)",0.000192742,0.000176381,0.000137458,4.54E-05,2.79E-05,9.46E-06,0.000456613,0.000372635,0.000348766,6.41E-05,9.41E-06,2.64E-05,4.51E-05,4.42E-05,4.38E-05
gi|115434086|,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (Fragment),0.000221517,0.000435696,1.54E-05,1.52E-05,4.69E-05,1.59E-05,6.22E-05,8.94E-05,5.33E-05,1.54E-05,7.90E-05,0.000103664,4.55E-05,7.42E-05,4.41E-05
gi|115434198|,Os01g0118000 Fructose-bisphosphate aldolase (EC 4.1.2.13),0.000111732,8.89E-05,7.85E-05,1.11E-05,1.14E-05,1.16E-05,0.00010572,6.51E-05,9.05E-05,3.36E-05,1.15E-05,1.08E-05,1.10E-05,1.08E-05,1.07E-05
gi|115434216|,Os01g0120300 Putative leucyl-tRNA synthetase (Os01g0120300 protein),5.09E-06,3.64E-05,7.81E-05,4.55E-06,3.27E-05,8.07E-05,4.33E-05,2.67E-05,2.65E-05,1.38E-05,2.36E-05,4.42E-06,4.53E-06,4.87E-05,3.07E-05
gi|115434220|,Os01g0120500 Putative uncharacterized protein P0684C01.2 (Os01g0120500 protein) (Putative uncharacterized protein P0698A04.34),1.90E-05,5.82E-05,0.000325435,8.48E-05,1.74E-05,8.84E-05,0.000299861,0.000417893,0.000138277,1.71E-05,5.28E-05,4.94E-05,8.44E-05,1.65E-05,8.18E-05
gi|115434226|,Putative translation initiation factor (Os01g0120800 protein),3.21E-05,7.03E-05,7.86E-05,4.51E-05,4.62E-05,5.56E-05,6.13E-05,5.29E-05,2.39E-05,4.55E-05,8.92E-05,3.58E-05,7.75E-05,5.19E-05,5.14E-05
gi|115434240|,"cDNA clone:J013012G06, full insert sequence (Os01g0121700 protein) (Putative ATP-binding-cassette protein)",0.000106702,0.000138234,0.000109242,5.73E-05,4.57E-05,4.64E-05,0.000112499,6.72E-05,0.000244564,4.50E-05,1.98E-05,3.09E-05,9.50E-05,6.81E-05,4.30E-05
gi|115434254|,"cDNA clone:001-025-D04, full insert sequence (cDNA clone:006-203-G05, full insert sequence) (cDNA clone:J023053A08, full insert sequence) (Os01g0123900 protein)",2.45E-05,2.50E-05,2.21E-05,6.57E-05,0.000157193,0.00011417,0.000148902,0.000179844,7.65E-05,0.000154788,0.000113526,0.000191475,6.54E-05,0.000106561,2.11E-05
gi|115434432|,Os01g0138900 protein (Fragment),5.33E-05,5.45E-05,4.82E-05,9.54E-06,9.78E-06,9.95E-06,6.49E-05,1.12E-05,5.55E-05,2.89E-05,2.97E-05,0.000101937,9.49E-06,2.78E-05,6.44E-05
gi|115434488|,"cDNA clone:001-008-F11, full insert sequence (cDNA clone:001-023-B04, full insert sequence) (Os01g0144100 protein) (Putative uncharacterized protein P0024G09.30)",2.53E-05,2.59E-05,0.000160057,0.000203725,0.00030185,0.00011805,3.08E-05,2.66E-05,2.64E-05,0.000205775,2.35E-05,6.60E-05,0.000157698,6.61E-05,0.000327548
gi|115434516|,"Triosephosphate isomerase, cytosolic (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)",0.002916073,0.002310934,0.003297169,0.003436828,0.004588291,0.003548659,0.002184888,0.004195513,0.004245238,0.007134723,0.00574971,0.007065915,0.003454844,0.003278514,0.003515362
gi|115434544|,"Os01g0150000 cDNA clone:006-201-F04, full insert sequence (Os01g0150000 protein) (Putative synaptic glycoprotein SC2)",0.0002476,0.000134068,3.95E-05,1.30E-05,1.34E-05,1.36E-05,1.77E-05,1.53E-05,7.59E-05,1.32E-05,1.35E-05,1.27E-05,3.89E-05,1.27E-05,1.26E-05
gi|115434560|,Os01g0151200 Putative PPF-1 protein (Os01g0151200 protein),9.62E-05,7.65E-05,4.83E-05,9.56E-06,2.94E-05,2.99E-05,1.30E-05,5.61E-05,7.79E-05,2.90E-05,2.97E-05,9.29E-06,2.85E-05,9.30E-06,2.77E-05
gi|115434592|,Os01g0153400 protein (Fragment),0.000254055,0.000185601,1.09E-05,1.08E-05,3.33E-05,7.90E-05,0.000103022,1.27E-05,6.30E-05,0.00016392,0.000145872,3.15E-05,5.38E-05,1.05E-05,3.13E-05
gi|115434790|,Phospholipase D alpha 1 (PLD alpha 1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D 1),0.000254488,0.000202443,0.000260545,0.000177013,0.000171198,0.000184629,0.000199516,0.000207738,0.000324052,0.000260529,0.000246531,0.000270322,0.00014597,0.000123088,0.000121972
gi|115434810|,Os01g0174300 Putative cytochrome b5 reductase (Os01g0174300 protein),0.000107986,0.000268224,0.000153292,9.66E-05,7.08E-05,1.44E-05,1.88E-05,1.62E-05,8.04E-05,1.39E-05,4.29E-05,6.70E-05,1.37E-05,1.34E-05,3.99E-05
gi|115434820|,Os01g0175000 Os01g0175000 protein,0.000185484,0.000147551,5.59E-05,1.84E-05,1.89E-05,5.77E-05,0.00012536,2.16E-05,6.44E-05,1.86E-05,0.000172039,1.79E-05,1.83E-05,1.79E-05,5.33E-05
gi|115434896|,"cDNA clone:J013071N06, full insert sequence (Os01g0180300 protein) (Putative MAR binding filament-like protein 1)",0.000452597,0.000513635,0.000576879,0.000282776,0.000199061,0.000225544,0.000776875,0.000461999,0.000820335,0.00026322,0.000396787,0.000458008,0.000270394,0.000199716,0.000208603
gi|115434904|,Putative heat shock protein (Putative uncharacterized protein) (Os01g0180800 protein),0.000398071,0.000349794,0.000258304,0.000285799,0.00024173,0.00018304,0.000184158,0.00038248,0.000613324,0.000217773,0.000254811,0.000190034,0.000234537,0.000239177,0.000237009
gi|115434962|,"cDNA clone:J013002O23, full insert sequence (Os01g0185300 protein) (Putative taxadien-5-alpha-ol O-acetyltransferase)",1.13E-05,5.78E-05,1.02E-05,0.000111265,1.04E-05,5.28E-05,4.13E-05,1.19E-05,8.25E-05,0.000112385,3.15E-05,2.95E-05,1.01E-05,2.95E-05,4.88E-05
gi|115435008|,Syringomycin biosynthesis enzyme-like (Os01g0190000 protein),1.43E-05,1.46E-05,6.45E-05,6.39E-05,3.93E-05,6.66E-05,0.000121651,0.00010495,0.000163713,3.87E-05,3.97E-05,3.72E-05,8.90E-05,0.000111932,6.16E-05
gi|115435022|,"cDNA clone:006-301-D10, full insert sequence (cDNA clone:006-302-C11, full insert sequence) (cDNA clone:006-302-E06, full insert sequence) (cDNA clone:006-308-C05, full insert sequence) (Os01g0191200 protein) (Putative acid phosphatase)",0.000427911,0.000761846,0.000386555,0.000496067,0.000450693,0.000369578,0.000289205,0.000415837,0.000544881,0.000386532,0.000455691,0.000316798,0.000521918,0.00056571,0.000505891
gi|115435028|,"cDNA clone:J013073N24, full insert sequence (Os01g0191500 protein) (Putative mitochondrial processing peptidase) (Putative uncharacterized protein)",0.00020315,0.0001682,0.000218471,0.000112466,4.44E-05,9.93E-05,0.000200065,0.000294434,0.000272119,4.37E-05,8.08E-05,0.000109296,0.000129151,7.58E-05,0.000108494
gi|115435100|,"Os01g0198900 cDNA clone:001-022-B09, full insert sequence (cDNA clone:J023088J12, full insert sequence) (Os01g0198900 protein) (Putative uncharacterized protein B1046G12.28)",6.83E-05,0.000209591,0.000102844,2.04E-05,2.09E-05,2.12E-05,2.77E-05,2.39E-05,2.37E-05,2.06E-05,2.11E-05,1.98E-05,2.03E-05,1.98E-05,1.96E-05
gi|115435108|,"Os01g0199900 cDNA clone:J013129D15, full insert sequence (Os01g0199900 protein) (Putative phosphoribosylaminoimidazole carboxylase, chloroplast)",5.34E-05,5.46E-05,6.89E-06,6.82E-06,2.10E-05,3.56E-05,0.000139106,4.00E-05,3.97E-05,2.07E-05,7.07E-06,6.63E-06,6.78E-06,4.65E-05,6.58E-06
gi|115435200|,Phosphoenolpyruvate carboxylase (EC 4.1.1.31),0.00078144,0.000827281,0.000689404,0.000527196,0.000633004,0.001069917,0.000539257,0.000551557,0.00052847,0.000862737,0.000877383,0.000750631,0.000597899,0.000529142,0.000500691
gi|115435220|,"cDNA clone:001-027-A02, full insert sequence (cDNA clone:J013136I24, full insert sequence) (cDNA clone:J023108G02, full insert sequence) (Os01g0210500 protein) (Putative heme binding protein 2) (Putative uncharacterized protein)",0.000243033,0.000248568,0.000977974,0.00013831,0.000547226,0.000267913,0.001048245,0.00113622,0.000437346,0.000698512,0.00051231,0.000288024,0.00021631,0.000288526,0.000247789
gi|115435310|,Putative ABC transporter Nda (Os01g0218700 protein),5.48E-05,4.36E-05,9.34E-05,2.72E-05,2.79E-05,1.70E-05,2.22E-05,1.92E-05,1.90E-05,5.50E-06,5.64E-06,5.29E-06,8.12E-05,2.65E-05,3.67E-05
gi|115435368|,"cDNA clone:J013101L22, full insert sequence (Os01g0223200 protein) (Putative esterase)",1.27E-05,3.91E-05,3.45E-05,0.000193818,5.85E-05,5.95E-05,1.55E-05,1.34E-05,1.33E-05,1.15E-05,3.55E-05,1.11E-05,0.000102121,7.77E-05,7.70E-05
gi|115435442|,"cDNA clone:006-204-B03, full insert sequence (cDNA clone:J023031I17, full insert sequence) (Os01g0228600 protein) (Putative D-isomer specific 2-hydroxyacid dehydrogenase)",0.000716567,0.000764074,0.000344316,0.000368134,0.000517476,0.000270202,0.000500781,0.000368027,0.000555937,0.000234121,0.000240396,0.000225254,0.000257824,0.000411473,0.000355131
gi|115435496|,"Os01g0232700 Histidinol dehydrogenase, chloroplastic (HDH) (EC 1.1.1.23)",3.10E-05,1.06E-05,9.33E-06,6.46E-05,2.84E-05,9.63E-06,8.79E-05,5.42E-05,5.38E-05,9.33E-06,2.87E-05,4.49E-05,2.76E-05,6.29E-05,8.91E-06
gi|115435500|,Salt stress root protein RS1,0.000550119,0.000269092,0.000626592,0.00014973,6.58E-05,2.23E-05,8.73E-05,7.53E-05,0.000323944,0.000194448,0.00019966,0.000727548,2.13E-05,0.000104117,2.06E-05
gi|115435508|,Cyclin-A1-1 (G2/mitotic-specific cyclin-A1-1) (CycA1;1),9.48E-06,9.70E-06,8.56E-06,5.93E-05,2.61E-05,4.42E-05,1.15E-05,9.95E-06,9.88E-06,8.56E-06,2.64E-05,8.24E-06,8.44E-06,8.25E-06,8.18E-06
gi|115435522|,Putative uncharacterized protein P0702F03.30 (Os01g0235100 protein) (Putative uncharacterized protein P0708G02.3),2.14E-05,2.19E-05,5.79E-05,1.91E-05,1.96E-05,5.98E-05,2.60E-05,0.00011214,2.23E-05,0.000289547,0.000257667,0.000241437,1.90E-05,1.86E-05,1.84E-05
gi|115435528|,Os01g0235400 protein (Fragment),8.69E-06,2.67E-05,5.50E-05,6.99E-05,8.77E-05,8.92E-05,0.000116292,0.00013681,9.96E-05,0.000102049,8.87E-05,5.29E-05,2.32E-05,3.78E-05,2.25E-05
gi|115435558|,Branched-chain amino acid aminotransferase-like (Os01g0238500 protein),1.46E-05,0.000194196,0.000118746,1.31E-05,9.38E-05,1.36E-05,0.000337595,1.53E-05,1.52E-05,6.60E-05,0.000311576,0.000418886,3.90E-05,1.27E-05,0.000113403
gi|115435572|,Putative triose phosphate/phosphate translocator (Os01g0239200 protein),0.000198746,0.000298931,0.000327393,0.000135918,0.000160869,0.000141765,0.000128002,8.59E-05,0.000328861,0.000116165,0.000119279,0.000132087,0.000156082,0.000132317,0.000191633
gi|115435662|,"cDNA clone:006-205-E11, full insert sequence (Os01g0249200 protein) (Putative nectarin I) (Putative oxalate oxidase (Germin protein)) (Putative uncharacterized protein)",2.25E-05,2.30E-05,0.000101514,2.01E-05,2.06E-05,0.000188676,0.000136707,0.000165116,7.02E-05,0.000101508,0.00014592,0.00021486,2.00E-05,1.96E-05,1.94E-05
gi|115435678|,"Os01g0250900 cDNA clone:J013002D15, full insert sequence (5'-nucleotidase, cytosolic II-like) (Os01g0250900 protein)",3.97E-05,2.44E-05,2.15E-05,7.10E-06,2.18E-05,2.22E-05,0.000106203,2.50E-05,4.13E-05,7.17E-06,2.21E-05,2.07E-05,7.06E-06,6.91E-06,6.85E-06
gi|115435714|,"cDNA clone:001-008-G03, full insert sequence (cDNA clone:001-207-C09, full insert sequence) (cDNA clone:J023112F13, full insert sequence) (GTP-binding protein) (Os01g0254000 protein) (Putative small GTP-binding protein Bsar1a)",2.38E-05,2.44E-05,0.000322619,0.000489725,0.000109205,0.000288709,0.000724112,0.000424799,0.000471295,0.0003226,0.000154582,2.07E-05,0.000233101,6.22E-05,0.000143782
gi|115435758|,Os01g0258700 Zinc finger CCCH domain-containing protein 6 (OsC3H6) (Zinc finger CCCH domain-containing protein ZFN-like 1),0.000177994,5.35E-05,2.84E-05,9.36E-06,9.60E-06,9.77E-06,0.000267485,9.89E-05,5.45E-05,4.73E-05,9.71E-06,9.10E-06,4.66E-05,6.38E-05,9.03E-06
gi|115435844|,"Peroxiredoxin-2F, mitochondrial (EC 1.11.1.15) (Peroxiredoxin IIF) (Thioredoxin reductase 2F)",2.49E-05,2.55E-05,0.000338056,0.000334667,2.29E-05,0.000162897,0.000455255,0.000654594,0.001013682,2.25E-05,0.000254537,0.000281869,0.000288664,0.00019548,0.000150662
gi|115435888|,Os01g0270100 Cysteine proteinase inhibitor 12 (Oryzacystatin-12) (Oryzacystatin XII) (OC-XII),1.91E-05,0.00021488,1.73E-05,1.71E-05,1.75E-05,1.78E-05,0.000162647,0.000340773,0.00013929,1.73E-05,1.77E-05,1.66E-05,1.70E-05,1.66E-05,1.65E-05
gi|115435898|,ATP-dependent Clp protease proteolytic subunit,0.000145738,0.000115933,0.000190165,0.000130333,7.43E-05,1.51E-05,9.85E-05,8.50E-05,8.44E-05,0.000102391,0.000105135,0.000182952,0.000100888,9.87E-05,0.00012573
gi|115435928|,Putative zwille protein (Os01g0275600 protein),1.55E-05,5.30E-06,4.68E-06,1.39E-05,4.75E-06,2.42E-05,1.89E-05,2.72E-05,2.70E-05,4.68E-06,2.40E-05,4.05E-05,1.38E-05,1.35E-05,2.24E-05
gi|115435934|,"cDNA clone:001-030-D11, full insert sequence (NAD-dependent isocitrate dehydrogenase a) (Os01g0276100 protein) (Putative isocitrate dehydrogenase) (Putative uncharacterized protein)",0.000304381,0.000419596,5.98E-05,5.92E-05,0.00020638,0.00025923,1.61E-05,9.72E-05,6.89E-05,3.59E-05,0.000184119,0.000149519,8.25E-05,3.46E-05,1.14E-05
gi|115435974|,"cDNA clone:001-027-F10, full insert sequence (cDNA clone:J023014B03, full insert sequence) (Os01g0279100 protein) (Putative ZIP)",0.000672441,0.000800502,0.000726951,0.000423912,0.000515732,0.000668366,0.00130083,0.00107597,0.001182931,0.000647247,0.000664595,0.000603573,0.000559255,0.00041268,0.00044698
gi|115436010|,"cDNA clone:001-035-F08, full insert sequence (cDNA clone:006-304-F03, full insert sequence) (cDNA clone:J023109L19, full insert sequence) (cDNA clone:J033114G12, full insert sequence) (Os01g0283100 protein) (Putative gamma-carbonic anhydrase)",0.000164658,0.000243256,0.000148744,4.91E-05,5.03E-05,5.12E-05,6.68E-05,0.000249619,0.000209668,1.65E-05,1.70E-05,0.000111302,8.14E-05,7.96E-05,7.89E-05
gi|115436026|,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),1.98E-05,2.02E-05,1.78E-05,1.77E-05,1.81E-05,1.84E-05,2.40E-05,2.07E-05,6.17E-05,0.000124885,0.000128233,0.000188816,1.76E-05,1.72E-05,1.70E-05
gi|115436038|,Os01g0286600 Protoporphyrinogen oxidase I (Os01g0286600 protein),2.76E-05,0.000141083,5.82E-05,8.22E-06,5.91E-05,4.29E-05,0.000100686,0.000221985,0.000201196,7.48E-05,8.53E-06,7.19E-05,8.18E-06,8.01E-06,3.97E-05
gi|115436054|,"cDNA clone:J013071P15, full insert sequence (cDNA clone:J023005B17, full insert sequence) (Os01g0290000 protein) (Putative aspartic proteinase)",0.000125063,6.89E-05,7.82E-05,4.30E-05,0.000132375,6.28E-05,8.19E-05,0.000111064,0.000130295,2.61E-05,8.92E-06,8.36E-06,7.71E-05,0.000108881,4.15E-05
gi|115436084|,"cDNA clone:001-039-C08, full insert sequence (cDNA clone:006-201-G02, full insert sequence) (cDNA clone:J013159G18, full insert sequence) (Class III peroxidase 11) (EC 1.11.1.7) (Os01g0294700 protein) (Putative peroxidase)",0.000316427,0.000351776,0.000211277,0.000110732,1.26E-05,0.000192493,0.000317998,0.00015883,0.000157666,1.24E-05,6.38E-05,0.000131524,0.000134694,8.38E-05,3.56E-05
gi|115436118|,Putative ATP citrate lyase a-subunit (Putative uncharacterized protein) (Os01g0300200 protein),0.000387113,0.000557533,0.000235512,0.000247282,0.000224664,0.000287397,0.000355605,0.000290203,0.000403307,0.000249771,0.000315086,0.000322704,0.000147663,0.000158194,0.000252179
gi|115436120|,Os01g0300600 protein (Fragment),1.15E-05,1.17E-05,7.26E-05,3.08E-05,1.05E-05,1.07E-05,0.00015369,8.44E-05,0.000131619,3.11E-05,5.33E-05,2.99E-05,1.02E-05,3.00E-05,9.91E-06
gi|115436216|,Pectinesterase (EC 3.1.1.11),0.000328006,0.000520567,0.000296306,0.000374256,0.000363147,0.000411458,0.000536628,0.00015432,0.000271026,0.000439324,0.000639932,0.000638944,0.000533545,0.000423422,0.000536677
gi|115436226|,"Os01g0314300 cDNA clone:001-106-D01, full insert sequence (cDNA clone:J033044B03, full insert sequence) (MCT-1 protein-like) (Os01g0314300 protein)",2.57E-05,2.63E-05,2.32E-05,2.30E-05,2.36E-05,2.40E-05,0.000218732,0.000296534,0.0001338,2.32E-05,2.38E-05,2.23E-05,2.29E-05,2.24E-05,2.22E-05
gi|115436264|,Protein translocase subunit secA,0.000211677,0.000243008,0.000269268,0.000328383,0.000202105,0.000189388,0.000394152,0.000240296,0.000319547,0.000183404,0.000204347,0.000108878,0.0002653,0.000334726,0.0002497
gi|115436266|,Os01g0321700 Os01g0321700 protein,5.58E-06,5.70E-06,5.04E-06,4.99E-06,5.12E-06,5.20E-06,2.04E-05,1.76E-05,5.23E-05,5.04E-06,5.17E-06,4.85E-06,4.96E-06,4.86E-06,4.81E-06
gi|115436290|,"cDNA clone:J023001H23, full insert sequence (Os01g0326000 protein) (Putative peroxidase)",0.000816011,0.00091947,0.000737147,0.001026609,0.001357555,0.001483605,0.001531123,0.001495114,0.001138332,0.000936995,0.000936453,0.00097363,0.001218681,0.000999408,0.000775574
gi|115436298|,"Os01g0327100 cDNA clone:J023058L02, full insert sequence (Class III peroxidase 15) (EC 1.11.1.7) (Os01g0327100 protein)",1.41E-05,1.44E-05,0.000317402,1.26E-05,1.29E-05,1.31E-05,0.000256465,0.000811274,0.000453911,0.000469727,1.30E-05,1.22E-05,1.25E-05,0.000305895,0.000278872
